Charger station, Location, approx coordinates, Power, evse_uid, evse_id, Comment
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL31, SE*VIR*ERIFIL31,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL32, SE*VIR*ERIFIL32,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL33, SE*VIR*ERIFIL33,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL34, SE*VIR*ERIFIL34,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL35, SE*VIR*ERIFIL35,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL36, SE*VIR*ERIFIL36,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL37, SE*VIR*ERIFIL37,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL38, SE*VIR*ERIFIL38,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL8, SE*VIR*ERIFIL8,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL9, SE*VIR*ERIFIL9,
Einride, Rosersberg, 59.563407 17.889894, 240, 3201869 ,SE*EIN*E3201869,
Einride, Rosersberg, 59.563407 17.889894, 240, 3201876 ,SE*EIN*E3201876
Einride, Rosersberg, 59.563407 17.889894, 240, 3201877 ,SE*EIN*E3201877,
Einride, Rosersberg, 59.563407 17.889894, 240, 3201878 ,SE*EIN*E3201878,
Einride, Rosersberg, 59.563407 17.889894, 240, 3201879 ,SE*EIN*E3201879,
Einride, Rosersberg, 59.563407 17.889894, 200, 3201881 ,SE*EIN*E3201881,
Einride, Rosersberg, 59.563407 17.889894, 200, 3201883 ,SE*EIN*E3201883,
Einride, Rosersberg, 59.563407 17.889894, 200, 3201885 ,SE*EIN*E3201885,
Einride, Rosersberg, 59.563407 17.889894, 200, 3201894, SE*EIN*E3201894,
Circle K, Järna, 59°05'20.2"N 17°36'08.1"E, 999, 8d4b3163-5e35-4e78-be79-d7721de7cf6c, SE*CKE*E42251*1
Circle K, Järna, 59°05'20.2"N 17°36'08.1"E, 400, ec8e758f-e166-4b5e-bafe-744295a17dd1, SE*CKE*E17540*1,
Circle K, Järna, 59°05'20.2"N 17°36'08.1"E, 400, f450238a-5e72-4eba-8b8d-594d830059b3, SE*CKE*E17540*2,
Circle K, Järna, 59°05'20.2"N 17°36'08.1"E, 400, cf935b05-4b22-4070-8bce-bd20b6c74bfc, SE*CKE*E17541*1,
Circle K, Järna, 59°05'20.2"N 17°36'08.1"E, 400, e65ca34d-0009-48ea-a066-ce2d38f229b6, SE*CKE*E17541*2,
Circle K, Järna, 59°05'20.2"N 17°36'08.1"E, 400, 096d87cd-090e-4271-b4d5-7b4dd99de32b, SE*CKE*E17542*1,
Circle K, Järna, 59°05'20.2"N 17°36'08.1"E, 400, 28f4b150-a733-45c0-a07f-c6b757db467f, SE*CKE*E17542*2,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 400, 67990efa39b7facf3187135d, SE-VIA-E00000044,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 400, 67990efa39b7facf3187135f, SE-VIA-E00000045,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 679be20ee22a398723cf5de1, SE-VIA-E00000046,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 679be20ee22a398723cf5de3, SE-VIA-E00000047,
Alfredsson Energy, Norrköping, 58°37'17.6"N 16°10'02.0"E, 300, 679be20ee22a398723cf5de5, SE-VIA-E00000048,
